Codi circumscripci�,Codi municipi,Nom municipi,Districte,Secci�,Mesa,Cens electoral,Votants,% votants,Abstenci�,% abstenci�,Vots nuls,% vots nuls,Vots en blanc,% vots en blanc, Vots a candidatures,% vots a candidatures,Vots v�lids,% vots v�lids,Codi comarca,Nom comarca
8,221,Sant Just Desvern                                 ,1,6,B,716,639,"089,25",77,"010,75",0,"000,00",4,"000,63",635,"099,37",639,"100,00",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,6,C,636,567,"089,15",69,"010,85",1,"000,18",2,"000,35",564,"099,47",566,"099,82",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,7,A,657,551,"083,87",106,"016,13",0,"000,00",4,"000,73",547,"099,27",551,"100,00",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,7,B,777,662,"085,20",115,"014,80",1,"000,15",2,"000,30",659,"099,55",661,"099,85",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,8,A,430,376,"087,44",54,"012,56",0,"000,00",2,"000,53",374,"099,47",376,"100,00",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,8,B,539,476,"088,31",63,"011,69",1,"000,21",0,"000,00",475,"099,79",475,"099,79",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,9,A,782,657,"084,02",125,"015,98",3,"000,46",1,"000,15",653,"099,39",654,"099,54",11,Baix Llobregat                          
8,221,Sant Just Desvern                                 ,1,9,B,634,587,"092,59",47,"007,41",1,"000,17",3,"000,51",583,"099,32",586,"099,83",11,Baix Llobregat                          
8,222,Sant Lloren� d'Hortons                            ,1,1,A,706,637,"090,23",69,"009,77",1,"000,16",0,"000,00",636,"099,84",636,"099,84",3,Alt Pened�s                             
8,222,Sant Lloren� d'Hortons                            ,1,1,B,751,649,"086,42",102,"013,58",0,"000,00",7,"001,08",642,"098,92",649,"100,00",3,Alt Pened�s                             
8,222,Sant Lloren� d'Hortons                            ,1,1,C,470,392,"083,40",78,"016,60",2,"000,51",0,"000,00",390,"099,49",390,"099,49",3,Alt Pened�s                             
8,223,Sant Lloren� Savall                               ,1,1,A,634,523,"082,49",111,"017,51",4,"000,76",4,"000,76",515,"098,47",519,"099,24",40,Vall�s Occidental                       
8,223,Sant Lloren� Savall                               ,1,1,B,546,447,"081,87",99,"018,13",0,"000,00",1,"000,22",446,"099,78",447,"100,00",40,Vall�s Occidental                       
8,223,Sant Lloren� Savall                               ,1,1,C,672,549,"081,70",123,"018,30",5,"000,91",2,"000,36",542,"098,72",544,"099,09",40,Vall�s Occidental                       
8,224,Sant Mart� de Centelles                           ,1,1,U,855,732,"085,61",123,"014,39",3,"000,41",2,"000,27",727,"099,32",729,"099,59",24,Osona                                   
8,225,Sant Mart� d'Albars                               ,1,1,U,92,85,"092,39",7,"007,61",0,"000,00",2,"002,35",83,"097,65",85,"100,00",24,Osona                                   
8,226,Sant Mart� de Tous                                ,1,1,U,903,829,"091,81",74,"008,19",1,"000,12",8,"000,97",820,"098,91",828,"099,88",6,Anoia                                   
8,227,Sant Mart� Sarroca                                ,1,1,A,702,592,"084,33",110,"015,67",1,"000,17",1,"000,17",590,"099,66",591,"099,83",3,Alt Pened�s                             
8,227,Sant Mart� Sarroca                                ,1,1,B,812,700,"086,21",112,"013,79",5,"000,71",1,"000,14",694,"099,14",695,"099,29",3,Alt Pened�s                             
8,227,Sant Mart� Sarroca                                ,1,2,A,411,335,"081,51",76,"018,49",4,"001,19",2,"000,60",329,"098,21",331,"098,81",3,Alt Pened�s                             
8,227,Sant Mart� Sarroca                                ,1,2,B,475,410,"086,32",65,"013,68",0,"000,00",2,"000,49",408,"099,51",410,"100,00",3,Alt Pened�s                             
